aren’t;are not
there’s;there is
can’t;can not
they’d;they had
couldn’t;could not
they’ll;they will
didn’t;did not
they’re;they are
doesn’t;does not
they’ve;they have
don’t;do not
we’d;we had
hadn’t;had not
we’re;we are
hasn’t;has not
we’ve;we have
haven’t;have not
weren’t;were not
he’d;he had
what’ll;what will
he’ll;he will
what’re;what are
he’s;he is
what’s;what is
I’d;I had
what’ve;what have
I’ll;I will
where’s;where is
I’m;I am
who’d;who had
I’ve;I have
who’ll;who will
isn’t;is not
who’re;who are
let’s;let us
who’s;who is
mightn’t;might not
who’ve;who have
mustn’t;must not
won’t;will not
shan’t;shall not
wouldn’t;would not
she’d;she had
you’d;you would
she’ll;she will;
you’ll;you will
she’s;she is
you’re;you are
shouldn’t;should not
you’ve;you have
that’s;that is
